[2026-04-03 17:59:37] IP=172.18.0.1 PUERTO=42198 | RX=CONEXION_ESTABLECIDA | TX=-
[2026-04-03 18:07:41] IP=172.18.0.1 PUERTO=52946 | RX=DATA temp-001 temperature 32.82 | TX=OK DATA_RECEIVED

[2026-04-03 18:07:42] IP=172.18.0.1 PUERTO=52946 | RX=DISCONNECT temp-001 | TX=OK GOODBYE

[2026-04-03 18:07:42] IP=172.18.0.1 PUERTO=52946 | RX=DESCONEXION | TX=temp-001
[2026-04-03 18:15:53] IP=172.18.0.1 PUERTO=42198 | RX=DESCONEXION | TX=ana
[2026-04-03 18:16:03] IP=172.18.0.1 PUERTO=50706 | RX=CONEXION_ESTABLECIDA | TX=-
[2026-04-03 18:16:03] IP=172.18.0.1 PUERTO=50706 | RX=REGISTER OPERATOR juan | TX=OK OPERATOR_REGISTERED juan

[2026-04-03 18:16:03] IP=172.18.0.1 PUERTO=50706 | RX=LIST SENSORS | TX=SENSOR_LIST []

[2026-04-03 18:16:05] IP=172.18.0.1 PUERTO=50706 | RX=LIST SENSORS | TX=SENSOR_LIST []

[2026-04-03 18:16:46] IP=172.18.0.1 PUERTO=39178 | RX=CONEXION_ESTABLECIDA | TX=-
[2026-04-03 18:16:46] IP=172.18.0.1 PUERTO=39178 | RX=REGISTER SENSOR temp-001 temperature | TX=OK SENSOR_REGISTERED temp-001

[2026-04-03 18:16:46] IP=172.18.0.1 PUERTO=39178 | RX=DATA temp-001 temperature 32.92 | TX=OK DATA_RECEIVED

[2026-04-03 18:16:50] IP=172.18.0.1 PUERTO=39178 | RX=DATA temp-001 temperature 15.86 | TX=OK DATA_RECEIVED

[2026-04-03 18:16:55] IP=172.18.0.1 PUERTO=39178 | RX=DATA temp-001 temperature 15.12 | TX=OK DATA_RECEIVED

[2026-04-03 18:16:58] IP=172.18.0.1 PUERTO=50706 | RX=DISCONNECT juan | TX=OK GOODBYE

[2026-04-03 18:16:58] IP=172.18.0.1 PUERTO=50706 | RX=DESCONEXION | TX=juan
[2026-04-03 18:17:01] IP=172.18.0.1 PUERTO=39178 | RX=anomalia detectada | TX=ALERT temp-001 temperature 45.1200 TEMPERATURA_ALTA (45.1 > 40.0)

[2026-04-03 18:17:01] IP=172.18.0.1 PUERTO=39178 | RX=DATA temp-001 temperature 45.12 | TX=OK DATA_RECEIVED

[2026-04-03 18:17:06] IP=172.18.0.1 PUERTO=39178 | RX=anomalia detectada | TX=ALERT temp-001 temperature 49.6100 TEMPERATURA_ALTA (49.6 > 40.0)

[2026-04-03 18:17:06] IP=172.18.0.1 PUERTO=39178 | RX=DATA temp-001 temperature 49.61 | TX=OK DATA_RECEIVED

[2026-04-03 18:17:07] IP=172.18.0.1 PUERTO=37810 | RX=CONEXION_ESTABLECIDA | TX=-
[2026-04-03 18:17:07] IP=172.18.0.1 PUERTO=37810 | RX=REGISTER OPERATOR juan | TX=OK OPERATOR_REGISTERED juan

[2026-04-03 18:17:07] IP=172.18.0.1 PUERTO=37810 | RX=LIST SENSORS | TX=SENSOR_LIST [{id:temp-001,tipo:temperature,valor:49.61,ip:172.18.0.1}]

[2026-04-03 18:17:11] IP=172.18.0.1 PUERTO=39178 | RX=DATA temp-001 temperature 26.87 | TX=OK DATA_RECEIVED

[2026-04-03 18:17:12] IP=172.18.0.1 PUERTO=37810 | RX=LIST SENSORS | TX=SENSOR_LIST [{id:temp-001,tipo:temperature,valor:26.87,ip:172.18.0.1}]

[2026-04-03 18:17:16] IP=172.18.0.1 PUERTO=39178 | RX=DATA temp-001 temperature 30.66 | TX=OK DATA_RECEIVED

[2026-04-03 18:17:20] IP=172.18.0.1 PUERTO=39178 | RX=DATA temp-001 temperature 19.38 | TX=OK DATA_RECEIVED

[2026-04-03 18:17:25] IP=172.18.0.1 PUERTO=39178 | RX=DATA temp-001 temperature 25.86 | TX=OK DATA_RECEIVED

[2026-04-03 18:17:30] IP=172.18.0.1 PUERTO=39178 | RX=anomalia detectada | TX=ALERT temp-001 temperature 47.2500 TEMPERATURA_ALTA (47.2 > 40.0)

[2026-04-03 18:17:30] IP=172.18.0.1 PUERTO=39178 | RX=DATA temp-001 temperature 47.25 | TX=OK DATA_RECEIVED

[2026-04-03 18:17:36] IP=172.18.0.1 PUERTO=39178 | RX=DATA temp-001 temperature 31.08 | TX=OK DATA_RECEIVED

[2026-04-03 18:17:41] IP=172.18.0.1 PUERTO=39178 | RX=DATA temp-001 temperature 34.05 | TX=OK DATA_RECEIVED

[2026-04-03 18:17:44] IP=172.18.0.1 PUERTO=37810 | RX=DESCONEXION | TX=juan
[2026-04-03 18:17:46] IP=172.18.0.1 PUERTO=39178 | RX=DATA temp-001 temperature 16.61 | TX=OK DATA_RECEIVED

[2026-04-03 18:17:46] IP=172.18.0.1 PUERTO=39178 | RX=DISCONNECT temp-001 | TX=OK GOODBYE

[2026-04-03 18:17:46] IP=172.18.0.1 PUERTO=39178 | RX=DESCONEXION | TX=temp-001
[2026-04-03 18:25:34] IP=172.18.0.1 PUERTO=44406 | RX=CONEXION_ESTABLECIDA | TX=-
[2026-04-03 18:25:34] IP=172.18.0.1 PUERTO=44406 | RX=REGISTER OPERATOR ana | TX=OK OPERATOR_REGISTERED ana

[2026-04-03 18:25:34] IP=172.18.0.1 PUERTO=44406 | RX=LIST SENSORS | TX=SENSOR_LIST []

[2026-04-03 18:25:54] IP=172.18.0.1 PUERTO=46124 | RX=CONEXION_ESTABLECIDA | TX=-
[2026-04-03 18:25:54] IP=172.18.0.1 PUERTO=46124 | RX=REGISTER SENSOR temp-001 temperature | TX=OK SENSOR_REGISTERED temp-001

[2026-04-03 18:25:54] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 30.05 | TX=OK DATA_RECEIVED

[2026-04-03 18:25:58] IP=172.18.0.1 PUERTO=46124 | RX=anomalia detectada | TX=ALERT temp-001 temperature 47.1300 TEMPERATURA_ALTA (47.1 > 40.0)

[2026-04-03 18:25:58] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 47.13 | TX=OK DATA_RECEIVED

[2026-04-03 18:26:03] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 18.86 | TX=OK DATA_RECEIVED

[2026-04-03 18:26:08] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 23.45 | TX=OK DATA_RECEIVED

[2026-04-03 18:26:13] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 30.81 | TX=OK DATA_RECEIVED

[2026-04-03 18:26:18] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 20.14 | TX=OK DATA_RECEIVED

[2026-04-03 18:26:23] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 21.97 | TX=OK DATA_RECEIVED

[2026-04-03 18:26:29] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 18.15 | TX=OK DATA_RECEIVED

[2026-04-03 18:26:34] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 28.32 | TX=OK DATA_RECEIVED

[2026-04-03 18:26:38] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 25.54 | TX=OK DATA_RECEIVED

[2026-04-03 18:26:43] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 33.32 | TX=OK DATA_RECEIVED

[2026-04-03 18:26:48] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 33.24 | TX=OK DATA_RECEIVED

[2026-04-03 18:26:53] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 34.63 | TX=OK DATA_RECEIVED

[2026-04-03 18:26:59] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 22.78 | TX=OK DATA_RECEIVED

[2026-04-03 18:27:04] IP=172.18.0.1 PUERTO=46124 | RX=anomalia detectada | TX=ALERT temp-001 temperature 46.0600 TEMPERATURA_ALTA (46.1 > 40.0)

[2026-04-03 18:27:04] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 46.06 | TX=OK DATA_RECEIVED

[2026-04-03 18:27:08] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 21.54 | TX=OK DATA_RECEIVED

[2026-04-03 18:27:13] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 27.23 | TX=OK DATA_RECEIVED

[2026-04-03 18:27:18] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 20.1 | TX=OK DATA_RECEIVED

[2026-04-03 18:27:23] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 31.94 | TX=OK DATA_RECEIVED

[2026-04-03 18:27:29] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 26.07 | TX=OK DATA_RECEIVED

[2026-04-03 18:27:34] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 31.17 | TX=OK DATA_RECEIVED

[2026-04-03 18:27:39] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 15.56 | TX=OK DATA_RECEIVED

[2026-04-03 18:27:40] IP=172.18.0.1 PUERTO=44406 | RX=DESCONEXION | TX=ana
[2026-04-03 18:27:43] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 17.15 | TX=OK DATA_RECEIVED

[2026-04-03 18:27:47] IP=172.18.0.1 PUERTO=42772 | RX=CONEXION_ESTABLECIDA | TX=-
[2026-04-03 18:27:47] IP=172.18.0.1 PUERTO=42772 | RX=REGISTER OPERATOR juan | TX=OK OPERATOR_REGISTERED juan

[2026-04-03 18:27:47] IP=172.18.0.1 PUERTO=42772 | RX=LIST SENSORS | TX=SENSOR_LIST [{id:temp-001,tipo:temperature,valor:17.15,ip:172.18.0.1}]

[2026-04-03 18:27:48] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 16.4 | TX=OK DATA_RECEIVED

[2026-04-03 18:27:53] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 31.99 | TX=OK DATA_RECEIVED

[2026-04-03 18:27:57] IP=172.18.0.1 PUERTO=42772 | RX=LIST SENSORS | TX=SENSOR_LIST [{id:temp-001,tipo:temperature,valor:31.99,ip:172.18.0.1}]

[2026-04-03 18:27:59] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 17.96 | TX=OK DATA_RECEIVED

[2026-04-03 18:28:04] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 31.32 | TX=OK DATA_RECEIVED

[2026-04-03 18:28:09] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 31.68 | TX=OK DATA_RECEIVED

[2026-04-03 18:28:14] IP=172.18.0.1 PUERTO=46124 | RX=anomalia detectada | TX=ALERT temp-001 temperature 45.8300 TEMPERATURA_ALTA (45.8 > 40.0)

[2026-04-03 18:28:14] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 45.83 | TX=OK DATA_RECEIVED

[2026-04-03 18:28:19] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 17.62 | TX=OK DATA_RECEIVED

[2026-04-03 18:28:24] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 16.48 | TX=OK DATA_RECEIVED

[2026-04-03 18:28:29] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 23.87 | TX=OK DATA_RECEIVED

[2026-04-03 18:28:34] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 17.17 | TX=OK DATA_RECEIVED

[2026-04-03 18:28:39] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 15.13 | TX=OK DATA_RECEIVED

[2026-04-03 18:28:44] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 16.01 | TX=OK DATA_RECEIVED

[2026-04-03 18:28:49] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 25.36 | TX=OK DATA_RECEIVED

[2026-04-03 18:28:54] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 30.96 | TX=OK DATA_RECEIVED

[2026-04-03 18:28:58] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 16.3 | TX=OK DATA_RECEIVED

[2026-04-03 18:29:05] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 27.94 | TX=OK DATA_RECEIVED

[2026-04-03 18:29:09] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 23.14 | TX=OK DATA_RECEIVED

[2026-04-03 18:29:14] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 24.41 | TX=OK DATA_RECEIVED

[2026-04-03 18:29:19] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 23.0 | TX=OK DATA_RECEIVED

[2026-04-03 18:29:24] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 26.28 | TX=OK DATA_RECEIVED

[2026-04-03 18:29:29] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 26.88 | TX=OK DATA_RECEIVED

[2026-04-03 18:29:35] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 34.29 | TX=OK DATA_RECEIVED

[2026-04-03 18:29:39] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 21.8 | TX=OK DATA_RECEIVED

[2026-04-03 18:29:44] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 27.29 | TX=OK DATA_RECEIVED

[2026-04-03 18:29:49] IP=172.18.0.1 PUERTO=46124 | RX=anomalia detectada | TX=ALERT temp-001 temperature 49.3800 TEMPERATURA_ALTA (49.4 > 40.0)

[2026-04-03 18:29:49] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 49.38 | TX=OK DATA_RECEIVED

[2026-04-03 18:29:54] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 34.34 | TX=OK DATA_RECEIVED

[2026-04-03 18:29:59] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 19.64 | TX=OK DATA_RECEIVED

[2026-04-03 18:30:05] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 29.6 | TX=OK DATA_RECEIVED

[2026-04-03 18:30:10] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 16.6 | TX=OK DATA_RECEIVED

[2026-04-03 18:30:14] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 20.78 | TX=OK DATA_RECEIVED

[2026-04-03 18:30:19] IP=172.18.0.1 PUERTO=46124 | RX=anomalia detectada | TX=ALERT temp-001 temperature 48.5600 TEMPERATURA_ALTA (48.6 > 40.0)

[2026-04-03 18:30:19] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 48.56 | TX=OK DATA_RECEIVED

[2026-04-03 18:30:24] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 22.04 | TX=OK DATA_RECEIVED

[2026-04-03 18:30:29] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 22.73 | TX=OK DATA_RECEIVED

[2026-04-03 18:30:34] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 17.2 | TX=OK DATA_RECEIVED

[2026-04-03 18:30:40] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 27.34 | TX=OK DATA_RECEIVED

[2026-04-03 18:30:44] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 31.24 | TX=OK DATA_RECEIVED

[2026-04-03 18:30:49] IP=172.18.0.1 PUERTO=46124 | RX=anomalia detectada | TX=ALERT temp-001 temperature 45.0400 TEMPERATURA_ALTA (45.0 > 40.0)

[2026-04-03 18:30:49] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 45.04 | TX=OK DATA_RECEIVED

[2026-04-03 18:30:54] IP=172.18.0.1 PUERTO=46124 | RX=anomalia detectada | TX=ALERT temp-001 temperature 47.8500 TEMPERATURA_ALTA (47.9 > 40.0)

[2026-04-03 18:30:54] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 47.85 | TX=OK DATA_RECEIVED

[2026-04-03 18:30:59] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 17.8 | TX=OK DATA_RECEIVED

[2026-04-03 18:31:04] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 30.37 | TX=OK DATA_RECEIVED

[2026-04-03 18:31:10] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 25.48 | TX=OK DATA_RECEIVED

[2026-04-03 18:31:15] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 19.85 | TX=OK DATA_RECEIVED

[2026-04-03 18:31:20] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 18.28 | TX=OK DATA_RECEIVED

[2026-04-03 18:31:24] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 29.95 | TX=OK DATA_RECEIVED

[2026-04-03 18:31:29] IP=172.18.0.1 PUERTO=46124 | RX=anomalia detectada | TX=ALERT temp-001 temperature 48.9500 TEMPERATURA_ALTA (49.0 > 40.0)

[2026-04-03 18:31:29] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 48.95 | TX=OK DATA_RECEIVED

[2026-04-03 18:31:34] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 30.2 | TX=OK DATA_RECEIVED

[2026-04-03 18:31:40] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 25.43 | TX=OK DATA_RECEIVED

[2026-04-03 18:31:45] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 34.48 | TX=OK DATA_RECEIVED

[2026-04-03 18:31:50] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 21.87 | TX=OK DATA_RECEIVED

[2026-04-03 18:31:54] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 27.46 | TX=OK DATA_RECEIVED

[2026-04-03 18:31:59] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 31.1 | TX=OK DATA_RECEIVED

[2026-04-03 18:32:04] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 23.94 | TX=OK DATA_RECEIVED

[2026-04-03 18:32:10] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 15.24 | TX=OK DATA_RECEIVED

[2026-04-03 18:32:15] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 32.0 | TX=OK DATA_RECEIVED

[2026-04-03 18:32:20] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 32.06 | TX=OK DATA_RECEIVED

[2026-04-03 18:32:24] IP=172.18.0.1 PUERTO=46124 | RX=anomalia detectada | TX=ALERT temp-001 temperature 48.1700 TEMPERATURA_ALTA (48.2 > 40.0)

[2026-04-03 18:32:24] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 48.17 | TX=OK DATA_RECEIVED

[2026-04-03 18:32:29] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 22.36 | TX=OK DATA_RECEIVED

[2026-04-03 18:32:34] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 21.09 | TX=OK DATA_RECEIVED

[2026-04-03 18:32:39] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 23.28 | TX=OK DATA_RECEIVED

[2026-04-03 18:32:45] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 32.87 | TX=OK DATA_RECEIVED

[2026-04-03 18:32:50] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 34.58 | TX=OK DATA_RECEIVED

[2026-04-03 18:32:55] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 27.98 | TX=OK DATA_RECEIVED

[2026-04-03 18:32:59] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 27.99 | TX=OK DATA_RECEIVED

[2026-04-03 18:33:04] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 22.03 | TX=OK DATA_RECEIVED

[2026-04-03 18:33:09] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 24.89 | TX=OK DATA_RECEIVED

[2026-04-03 18:33:15] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 22.46 | TX=OK DATA_RECEIVED

[2026-04-03 18:33:20] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 23.33 | TX=OK DATA_RECEIVED

[2026-04-03 18:33:25] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 20.17 | TX=OK DATA_RECEIVED

[2026-04-03 18:33:29] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 32.52 | TX=OK DATA_RECEIVED

[2026-04-03 18:33:34] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 29.06 | TX=OK DATA_RECEIVED

[2026-04-03 18:33:39] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 20.59 | TX=OK DATA_RECEIVED

[2026-04-03 18:33:45] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 16.98 | TX=OK DATA_RECEIVED

[2026-04-03 18:33:50] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 29.62 | TX=OK DATA_RECEIVED

[2026-04-03 18:33:55] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 15.66 | TX=OK DATA_RECEIVED

[2026-04-03 18:34:00] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 17.29 | TX=OK DATA_RECEIVED

[2026-04-03 18:34:04] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 15.43 | TX=OK DATA_RECEIVED

[2026-04-03 18:34:09] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 32.8 | TX=OK DATA_RECEIVED

[2026-04-03 18:34:15] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 26.2 | TX=OK DATA_RECEIVED

[2026-04-03 18:34:20] IP=172.18.0.1 PUERTO=46124 | RX=anomalia detectada | TX=ALERT temp-001 temperature 45.2000 TEMPERATURA_ALTA (45.2 > 40.0)

[2026-04-03 18:34:20] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 45.2 | TX=OK DATA_RECEIVED

[2026-04-03 18:34:25] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 19.59 | TX=OK DATA_RECEIVED

[2026-04-03 18:34:30] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 26.82 | TX=OK DATA_RECEIVED

[2026-04-03 18:34:34] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 24.19 | TX=OK DATA_RECEIVED

[2026-04-03 18:34:39] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 18.8 | TX=OK DATA_RECEIVED

[2026-04-03 18:34:44] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 24.51 | TX=OK DATA_RECEIVED

[2026-04-03 18:34:50] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 26.05 | TX=OK DATA_RECEIVED

[2026-04-03 18:34:55] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 30.26 | TX=OK DATA_RECEIVED

[2026-04-03 18:35:00] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 23.54 | TX=OK DATA_RECEIVED

[2026-04-03 18:35:05] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 23.78 | TX=OK DATA_RECEIVED

[2026-04-03 18:35:09] IP=172.18.0.1 PUERTO=46124 | RX=anomalia detectada | TX=ALERT temp-001 temperature 49.9500 TEMPERATURA_ALTA (50.0 > 40.0)

[2026-04-03 18:35:09] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 49.95 | TX=OK DATA_RECEIVED

[2026-04-03 18:35:14] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 15.42 | TX=OK DATA_RECEIVED

[2026-04-03 18:35:20] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 25.21 | TX=OK DATA_RECEIVED

[2026-04-03 18:35:25] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 29.18 | TX=OK DATA_RECEIVED

[2026-04-03 18:35:30] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 26.13 | TX=OK DATA_RECEIVED

[2026-04-03 18:35:35] IP=172.18.0.1 PUERTO=46124 | RX=DATA temp-001 temperature 17.93 | TX=OK DATA_RECEIVED

[2026-04-03 18:35:39] IP=172.18.0.1 PUERTO=46124 | RX=anomalia detectada | TX=ALERT temp-001 temperature 45.3200 TEMPERATURA_ALTA (45.3 > 40.0)

